date;product_id;sales_cnt
2022-01-03;1;20
2022-01-03;2;16
2022-01-03;3;70
2022-01-10;1;20
2022-01-10;2;16
2022-01-10;3;70
2022-01-17;1;20
2022-01-17;2;16
2022-01-17;3;70
2022-01-24;1;20
2022-01-24;2;16
2022-01-24;3;70
2022-01-31;1;20
2022-01-31;2;16
2022-01-31;3;70
2022-01-31;3;71
2022-02-01;1;20
2022-02-01;2;16
2022-02-07;3;71
2022-02-08;1;20
2022-02-08;2;16
2022-02-14;1;20
2022-02-14;2;16
2022-02-14;3;71
2022-02-21;1;20
2022-02-21;2;16
2022-02-21;3;71
2022-02-28;1;20
2022-02-28;2;16
2022-02-28;3;71
2022-03-03;1;21
2022-03-03;2;16
2022-03-03;3;72
2022-03-10;1;21
2022-03-10;2;16
2022-03-10;3;72
2022-03-17;1;21
2022-03-17;2;16
2022-03-17;3;72
2022-03-24;1;21
2022-03-24;2;16
2022-03-24;3;72
2022-03-31;1;21
2022-03-31;2;16
2022-03-31;3;72
2022-04-02;1;21
2022-04-02;2;17
2022-04-02;3;72
2022-04-09;1;21
2022-04-09;2;17
2022-04-09;3;72
2022-04-16;1;21
2022-04-16;2;17
2022-04-16;3;72
2022-04-23;1;21
2022-04-23;2;17
2022-04-23;3;72
2022-04-30;1;21
2022-04-30;2;17
2022-04-30;3;72
2022-05-03;1;21
2022-05-03;2;17
2022-05-03;3;73
2022-05-10;1;21
2022-05-10;2;17
2022-05-10;3;73
2022-05-17;1;21
2022-05-17;2;17
2022-05-17;3;73
2022-05-24;1;21
2022-05-24;2;17
2022-05-24;3;73
2022-05-31;1;21
2022-05-31;2;17
2022-05-31;3;73
2022-06-02;1;22
2022-06-02;2;17
2022-06-02;3;74
2022-06-09;1;22
2022-06-09;2;17
2022-06-09;3;74
2022-06-16;1;22
2022-06-16;2;17
2022-06-16;3;74
2022-06-23;1;22
2022-06-23;2;17
2022-06-23;3;74
2022-06-30;1;22
2022-06-30;2;17
2022-06-30;3;74
2022-07-03;1;22
2022-07-03;2;17
2022-07-03;3;75
2022-07-10;1;22
2022-07-10;2;17
2022-07-10;3;75
2022-07-17;1;22
2022-07-17;2;17
2022-07-17;3;75
2022-07-24;1;22
2022-07-24;2;17
2022-07-24;3;75
2022-07-31;1;22
2022-07-31;2;17
2022-07-31;3;75
2022-08-03;1;23
2022-08-03;2;17
2022-08-03;3;76
2022-08-10;1;23
2022-08-10;2;17
2022-08-10;3;76
2022-08-17;1;23
2022-08-17;2;17
2022-08-17;3;76
2022-08-24;1;23
2022-08-24;2;17
2022-08-24;3;76
2022-08-31;1;23
2022-08-31;2;17
2022-08-31;3;76
2022-09-02;1;23
2022-09-02;2;18
2022-09-02;3;76
2022-09-09;1;23
2022-09-09;2;18
2022-09-09;3;76
2022-09-16;1;23
2022-09-16;2;18
2022-09-16;3;76
2022-09-23;1;23
2022-09-23;2;18
2022-09-23;3;76
2022-09-30;1;23
2022-09-30;2;18
2022-09-30;3;76
2022-10-03;1;23
2022-10-03;2;18
2022-10-03;3;77
2022-10-10;1;23
2022-10-10;2;18
2022-10-10;3;77
2022-10-17;1;23
2022-10-17;2;18
2022-10-17;3;77
2022-10-24;1;23
2022-10-24;2;18
2022-10-24;3;77
2022-10-31;1;23
2022-10-31;2;18
2022-10-31;3;77
2022-11-02;1;24
2022-11-02;2;18
2022-11-02;3;78
2022-11-09;1;24
2022-11-09;2;18
2022-11-09;3;78
2022-11-16;1;24
2022-11-16;2;18
2022-11-16;3;78
2022-11-23;1;24
2022-11-23;2;18
2022-11-23;3;78
2022-11-30;1;24
2022-11-30;2;18
2022-11-30;3;78
2022-12-03;1;24
2022-12-03;2;18
2022-12-03;3;79
2022-12-10;1;24
2022-12-10;2;18
2022-12-10;3;79
2022-12-17;1;24
2022-12-17;2;18
2022-12-17;3;79
2022-12-24;1;24
2022-12-24;2;18
2022-12-24;3;79
2022-12-31;1;24
2022-12-31;2;18
2022-12-31;3;79
2023-01-03;1;25
2023-01-03;2;18
2023-01-03;3;80
2023-01-10;1;25
2023-01-10;2;18
2023-01-10;3;80
2023-01-17;1;25
2023-01-17;2;18
2023-01-17;3;80
2023-01-24;1;25
2023-01-24;2;18
2023-01-24;3;80
2023-01-31;1;25
2023-01-31;2;18
2023-01-31;3;80
2023-01-31;1;25
2023-01-31;2;19
2023-01-31;3;80
2023-02-07;1;25
2023-02-07;2;19
2023-02-07;3;80
2023-02-14;1;25
2023-02-14;2;19
2023-02-14;3;80
2023-02-21;1;25
2023-02-21;2;19
2023-02-21;3;80
2023-02-28;1;25
2023-02-28;2;19
2023-02-28;3;80
2023-03-03;1;25
2023-03-03;2;19
2023-03-03;3;81
2023-03-10;1;25
2023-03-10;2;19
2023-03-10;3;81
2023-03-17;1;25
2023-03-17;2;19
2023-03-17;3;81
2023-03-24;1;25
2023-03-24;2;19
2023-03-24;3;81
2023-03-31;1;25
2023-03-31;2;19
2023-03-31;3;81
2023-04-02;1;26
2023-04-02;2;19
2023-04-02;3;82
2023-04-09;1;26
2023-04-09;2;19
2023-04-09;3;82
2023-04-16;1;26
2023-04-16;2;19
2023-04-16;3;82
2023-04-23;1;26
2023-04-23;2;19
2023-04-23;3;82
2023-04-30;1;26
2023-04-30;2;19
2023-04-30;3;82
2023-05-03;1;26
2023-05-03;2;19
2023-05-03;3;83
2023-05-10;1;26
2023-05-10;2;19
2023-05-10;3;83
2023-05-17;1;26
2023-05-17;2;19
2023-05-17;3;83
2023-05-24;1;26
2023-05-24;2;19
2023-05-24;3;83
2023-05-31;1;26
2023-05-31;2;19
2023-05-31;3;83
2023-06-02;1;27
2023-06-02;2;19
2023-06-02;3;84
2023-06-09;1;27
2023-06-09;2;19
2023-06-09;3;84
2023-06-16;1;27
2023-06-16;2;19
2023-06-16;3;84
2023-06-23;1;27
2023-06-23;2;19
2023-06-23;3;84
2023-06-30;1;27
2023-06-30;2;19
2023-06-30;3;84
