date;product_id;sales_cnt
04.01.2022;1;39
04.01.2022;2;23
04.01.2022;3;100
13.01.2022;1;39
13.01.2022;2;23
13.01.2022;3;100
22.01.2022;1;39
22.01.2022;2;23
22.01.2022;3;100
31.01.2022;1;39
31.01.2022;2;23
31.01.2022;3;100
01.02.2022;1;38
01.02.2022;2;24
01.02.2022;3;99
10.02.2022;1;38
10.02.2022;2;24
10.02.2022;3;99
19.02.2022;1;38
19.02.2022;2;24
19.02.2022;3;99
28.02.2022;1;38
28.02.2022;2;24
28.02.2022;3;99
04.03.2022;1;41
04.03.2022;2;32
04.03.2022;3;101
13.03.2022;1;41
13.03.2022;2;32
13.03.2022;3;101
22.03.2022;1;41
22.03.2022;2;32
22.03.2022;3;101
31.03.2022;1;41
31.03.2022;2;32
31.03.2022;3;101
03.04.2022;1;44
03.04.2022;2;26
03.04.2022;3;102
12.04.2022;1;44
12.04.2022;2;26
12.04.2022;3;102
21.04.2022;1;44
21.04.2022;2;26
21.04.2022;3;102
30.04.2022;1;44
30.04.2022;2;26
30.04.2022;3;102
04.05.2022;1;43
04.05.2022;2;29
04.05.2022;3;104
13.05.2022;1;43
13.05.2022;2;29
13.05.2022;3;104
22.05.2022;1;43
22.05.2022;2;29
22.05.2022;3;104
31.05.2022;1;43
31.05.2022;2;29
31.05.2022;3;104
03.06.2022;1;44
03.06.2022;2;30
03.06.2022;3;109
12.06.2022;1;44
12.06.2022;2;30
12.06.2022;3;109
21.06.2022;1;44
21.06.2022;2;30
21.06.2022;3;109
30.06.2022;1;44
30.06.2022;2;30
30.06.2022;3;109
04.07.2022;1;43
04.07.2022;2;35
04.07.2022;3;112
13.07.2022;1;43
13.07.2022;2;35
13.07.2022;3;112
22.07.2022;1;43
22.07.2022;2;35
22.07.2022;3;112
31.07.2022;1;43
31.07.2022;2;35
31.07.2022;3;112
04.08.2022;1;43
04.08.2022;2;27
04.08.2022;3;104
13.08.2022;1;43
13.08.2022;2;27
13.08.2022;3;104
22.08.2022;1;43
22.08.2022;2;27
22.08.2022;3;104
31.08.2022;1;43
31.08.2022;2;27
31.08.2022;3;104
03.09.2022;1;48
03.09.2022;2;34
03.09.2022;3;108
12.09.2022;1;48
12.09.2022;2;34
12.09.2022;3;108
21.09.2022;1;48
21.09.2022;2;34
21.09.2022;3;108
30.09.2022;1;48
30.09.2022;2;34
30.09.2022;3;108
04.10.2022;1;45
04.10.2022;2;31
04.10.2022;3;107
13.10.2022;1;45
13.10.2022;2;31
13.10.2022;3;107
22.10.2022;1;45
22.10.2022;2;31
22.10.2022;3;107
31.10.2022;1;45
31.10.2022;2;31
31.10.2022;3;107
03.11.2022;1;40
03.11.2022;2;28
03.11.2022;3;114
12.11.2022;1;40
12.11.2022;2;28
12.11.2022;3;114
21.11.2022;1;40
21.11.2022;2;28
21.11.2022;3;114
30.11.2022;1;40
30.11.2022;2;28
30.11.2022;3;114
04.12.2022;1;43
04.12.2022;2;32
04.12.2022;3;113
13.12.2022;1;43
13.12.2022;2;32
13.12.2022;3;113
22.12.2022;1;43
22.12.2022;2;32
22.12.2022;3;113
31.12.2022;1;43
31.12.2022;2;32
31.12.2022;3;113
04.01.2023;1;49
04.01.2023;2;30
04.01.2023;3;111
13.01.2023;1;49
13.01.2023;2;30
13.01.2023;3;111
22.01.2023;1;49
22.01.2023;2;30
22.01.2023;3;111
31.01.2023;1;49
31.01.2023;2;30
31.01.2023;3;111
01.02.2023;1;49
01.02.2023;2;34
01.02.2023;3;119
10.02.2023;1;49
10.02.2023;2;34
